full_name,owner_type,stargazers_count,followers_count
kennethlnnn/3FS,User,0,2
asdlei99/3FS,User,0,51
luizlf/3FS,User,0,1
dexcompiler/3FS,User,0,28
IronOnet/3FS,User,0,90
sunby/3FS,User,0,40
Hartmon8/3FS,User,0,4
Oyelowo/3FS,User,0,117
Iwan2016/3FS,User,0,2
wlxiong/3FS,User,0,71
CQxiaocaimi/ds-3FS,User,0,0
xdcs100/3FS,User,0,23
qqq-tech/3FS,User,0,3
lidongtaolk/3FS,User,0,3
wayneguow/3FS,User,0,7
axfor/3fs,User,0,58
jihai/3FS,User,0,1
lovebenghuai/3FS,User,0,1
imanbarati/3FS,User,0,12
alliefn/3FS,User,0,13
NewNapoleon/3FS,User,0,6
davidyangcool/3FS,User,0,14
mingpeng2live/3FS,User,0,3
luckyh/3FS,User,0,7
iyukee/3FS,User,0,0
ljx023/3FS,User,0,0
ufo001sos002/3FS,User,0,1
jacky68147527/3FS,User,0,10
KooTeams/3FS,User,0,0
hephaex/3FS,User,0,55
hiworld-nan/3FS,User,0,9
A-transformer/3FS,User,0,3
zd-double/3FS,User,0,39
Skyward666/3FS,User,1,0
winterNan/3FS,User,0,5
jygirl/3FS,User,0,7
BingoLiuX/3FS,User,0,0
GITHUBear/3FS,User,0,29
ZJLavender/3FS,User,0,11
shubham-Dehaat/3FS,User,0,0
haoduoren2018/3FS,User,0,0
bookc618/3FS,User,0,0
hsyodyssey/3FS,User,0,359
Aditya-Chandrabhatla/3fs,User,0,0
Huangyinpeng/3FS,User,0,0
tysonstwrt/3FS,User,0,0
qiyuanzhi/3FS,User,0,5
Alignment-Lab-AI/3FS,User,0,241
Belyenochi/3FS,User,0,95
felix0080/3FS-bak,User,0,29
kelveb/3FS,User,0,1
bigbrotherwei/3FS,User,0,1
JamesWSWu/3FS,User,0,1
helloopenworld/3FS,User,0,6
sukeradele/3FS,User,0,0
greenmlh/3FS,User,0,0
fleetingold/3FS,User,0,19
ben741863140/3FS,User,0,10
muse117/3FS,User,0,6
ShabbirHasan1/3FS,User,0,0
Pating/3FS,User,0,7
shangbai/3FS,User,0,0
vectorch-ai/3FS,Organization,0,10
zhiwayzhang/3FS,User,0,36
aabbcc0/3FS,User,0,0
robo5ive/3FS,User,0,0
feizai131/3FS,User,0,0
APOLLONLIN/3FS,User,0,1
MetaX-MACA/3FS,Organization,0,17
xiaox1311/3FS,User,0,0
tecworks-dev/3FS,User,0,14
NandiMK1990/3FS,User,0,5
yubobo/3FS,User,0,37
minghua-123/3FS,User,0,1
supersymmetryinm/deepseek-3FS,Organization,0,0
Leonneoxie/3FS,User,0,12
Ruiii-w/3FS,User,0,2
beriny/wenjian-3FS,User,0,3
Xinguang/3FS,User,0,36
mindok7520/3FS,User,0,7
fdrex/3FS,User,0,4
liupengs/3FS,User,0,24
wdq233/3FS,User,0,6
Linkwei/3FS,User,0,2
MayBeLaterOrNot/3FS,Organization,0,0
wangrongwei/3FS,User,0,52
luckgaojq/3FS,User,0,0
Nugine/3FS,User,0,329
tranquilo12/3FS,User,0,6
ljq/3FS,User,0,79
qiuxinyidian/3FS,User,0,0
jacoszgl/3FS,User,0,2
milesvant/3FS,User,0,10
firetaker/3FS,User,0,11
yuanguangshan/3FS,User,0,4
StyliteGG/3FS,User,0,0
maythorn300/3FS,User,0,0
Martina-Lu/3FS,User,0,1
Sanford2020/3FS,User,0,12
ThanhPham1987/3FS,User,1,62
whwstar/3FS,User,0,2
cydrain/3FS,User,0,24
kphf1995cm/3FS,User,0,12
jackblack369/3FS,User,0,16
GeorgeG-2016/deepseek-3FS,User,0,0
cmdmspaint/3FS,User,0,3
Gitkingly/3FS,User,0,0
ouyangxiaochen/3FS,User,0,2
zhaohuxing/3FS,User,0,14
uebylive/3FS,User,0,2
tanjingme/3FS,User,0,1
fansmoon/3FS,User,0,1
AD1024/3FS,User,0,395
hequan/3FS,User,0,1
Huweicai/3FS,User,0,102
guojuntech/3FS,User,0,20
ZhuXiongwei24/3FS,User,0,3
manuel71sj/deepseek-ai_3FS,User,0,3
jimhuaang/3FS,User,0,2
wjin/3FS,User,0,45
shunj-g/3FS,User,0,3
IOiin/3FS,User,0,0
lsy789/3FS,User,0,2
stutiredboy/3FS,User,0,10
gmh5225/3FS,User,0,939
strategist922/3fs,User,1,752
lihuibng/3FS,User,0,66
coding-alt/3FS,User,0,7
felixYing/3FS,User,0,0
GreeyiSaEs/3FS,User,0,6
PdoraB/3FS,Organization,0,0
66RING/3FS,User,0,136
ccc0168/3FS,User,0,7
javier2150/3FS,User,0,0
qrGitHub/3FS,User,0,1
javadeveloper001/3FS,User,0,49
Schaudge/3FS,User,0,10
ZhangHanDong/3FS,User,0,1447
flstar/3FS,User,0,1
edgeye/3FS,User,0,2
yaoyao02/3FS,User,0,1
shuang-shuang/3FS,User,0,10
coderzc/3FS,User,0,85
samloyal/3FS,User,0,1
taotaokr/3FS,User,0,0
jonathanzhao/3FS,User,0,8
melody97/3FS,User,0,1
belinwu/3FS,User,0,119
yutiansut/3FS,User,0,1593
hunterlxt/3FS,User,0,69
yuyang733/3FS,User,0,43
paglimo/3FS,User,0,0
Sunzhoujia/3FS,User,0,3
summmerlee/3FS,User,0,0
eonezhang/3FS,User,0,57
LeshracTheMalicious/3FS,User,0,4
