repo_name,classification,openrank_25,created_at,stars,forks,language,repo_id,comparev1
pipecat-ai/pipecat,Voice,63,2023/12/27,6830,1027,Python,736272311,x
HKUDS/LightRAG,Knowledge Mangement,62,2024/10/2,18410,2586,Python,866513204,x
InternLM/lmdeploy,Inference Engine,62,2023/6/15,6711,573,Python,654122609,Inference Engine
sst/opencode,AI Coding,61,2025/4/30,12630,705,Go,975734319,x
AstrBotDevs/AstrBot,Chatbot,61,2022/12/8,10558,744,Python,575865240,x
Genesis-Embodied-AI/Genesis,Super Agent,59,2023/10/31,25821,2342,Python,712225112,x
qdrant/qdrant,Vector Storage and Search,58,2020/5/30,24688,1701,Rust,268163609,Vector Storage and Search
keras-team/keras,Training Platform,58,2015/3/28,63207,19588,Python,33015583,Pre-train
docling-project/docling,Knowledge Mangement,57,2024/7/9,34258,2293,Python,826168160,x
opea-project/GenAIExamples,"Microservice, Enterprise",56,2024/3/20,652,298,Shell,775149161,x
activepieces/activepieces,Agent Workflow,56,2022/12/3,15811,2204,TypeScript,573661753,x
Arize-ai/phoenix,LLMOps,56,2022/11/9,6308,488,Jupyter Notebook,564072810,x
langchain4j/langchain4j,Agent Framework,55,2023/6/20,8354,1530,Java,656264456,x
deepspeedai/DeepSpeed,Training Platform,55,2020/1/23,39358,4472,Python,235860204,Pre-train
mlrun/mlrun,MLOps,55,2019/9/1,1556,268,Python,205706595,MLOps
bytedance/deer-flow,Agent Framework,54,2025/5/7,15218,1880,Python,979115477,x
vllm-project/vllm-ascend,Hardware - vLLM,54,2025/1/29,877,255,Python,924058625,x
invoke-ai/InvokeAI,Visual,54,2022/8/17,25511,2612,TypeScript,525592995,x
cvat-ai/cvat,AI Data - Labeling,54,2018/6/29,14057,3280,Python,139156354,Data Labeling
vespa-engine/vespa,AI Data - Labeling,54,2016/6/3,6247,648,Java,60377070,x
pytorch/torchtune,Post-train,53,2023/10/20,5340,652,Python,707869465,x
FlowiseAI/Flowise,Agent Framework - Workflow,52,2023/3/31,41530,21299,TypeScript,621803253,Agent Framework - Workflow
NVIDIA/TransformerEngine,AI Kernel Library,52,2022/9/20,2556,457,Python,539057023,x
gpustack/gpustack,Inference Deploy,51,2024/5/11,3081,312,Python,799049436,x
onyx-dot-app/onyx,Team Assisitant,51,2023/4/27,13152,1768,Python,633262635,x
containers/ramalama,Inference Deploy,50,2024/7/24,1903,216,Python,833306239,x
FunAudioLLM/CosyVoice,Voice,50,2024/7/3,15176,1614,Python,823430322,x
promptfoo/promptfoo,Evaluation Platform,50,2023/4/28,7562,606,TypeScript,633927609,x
dust-tt/dust,General Assistant,50,2022/8/19,1160,148,TypeScript,526514610,x
pytorch/xla,AI Compiler,50,2018/11/5,2639,552,Python,156293205,x
Kong/kong,API Management,50,2014/11/17,41292,4950,Lua,26783295,x
mem0ai/mem0,,,,,,,,
