repo_name,classification,openrank_25,created_at,stars,forks,language,repo_id,comparev1
Farama-Foundation/Gymnasium,Post-train,,,,,,534011733.0,
ItzCrazyKns/Perplexica,AI Search Engine,,,,,,784181462.0,
ml-explore/mlx,AI Kernel Library,,,,,,724854743.0,
TabbyML/tabby,Coding Assistant,,,,,,614764248.0,
pgvector/pgvector,Vector Storage and Search,,,,,,359952601.0,
microsoft/OmniParser,Tool use,,,,,,860252770.0,
triton-inference-server/server,Inference Deploy,,,,,,151636194.0,
chatboxai/chatbox,Client Inferface,,,,,,610260322.0,
iterative/datachain,Data Integration,,,,,,820144741.0,
deepseek-ai/DeepEP,AI Kernel Library,,,,,,933928679.0,
Zipstack/unstract,Data Integration,,,,,,761150311.0,
chatchat-space/Langchain-Chatchat,Agent Framework - Workflow,,,,,,621799276.0,
zaidmukaddam/scira,AI Search Engine,,,,,,839372398.0,
mindverse/Second-Me,General Assistant,,,,,,949271792.0,
vllm-project/aibrix,Inference Deploy,,,,,,813348592.0,
eosphoros-ai/DB-GPT,Agent Framework - Workflow,,,,,,627480054.0,
nomic-ai/gpt4all,Inference Deploy,,,,,,619959033.0,
oobabooga/text-generation-webui,Client Inferface,,,,,,580642043.0,
Netflix/metaflow,MLOps,,,,,,209120637.0,
unitycatalog/unitycatalog,Unstructured Data Governance - Catalog,,,,,,814708478.0,
elastic/elasticsearch,Vector Storage and Search,,,,,,507775.0,
