repo_id,repo_name,classification,stars,forks,openrank_25,language,created_at
71932349,ray-project/ray,Distributed Processing,37572,6438,230,Python,2016/10/25
17165658,apache/spark,Distributed Processing,41326,28615,192,Scala,2014/2/25
175592968,volcano-sh/volcano,Distributed Processing,4757,1124,39,Go,2019/3/14
28782747,dask/dask,Distributed Processing,13273,1774,19,Python,2015/1/4
654124617,open-compass/opencompass,Evaluation Platform,5523,601,34,Python,2023/6/15
615882673,lm-sys/FastChat,Evaluation Platform,38740,4720,10,Python,2023/3/19
943934999,mannaandpoem/OpenManus,General Assistant,535,201,,Python,2025/5/14
942114501,camel-ai/owl,General Assistant,17056,1997,40,Python,2025/3/3
949271792,mindverse/Second-Me,General Assistant,12813,922,26,Python,2025/3/16
112542515,NVIDIA/cutlass,AI Kernel Library,7707,1273,36,C++,2017/11/30
669331976,flashinfer-ai/flashinfer,AI Kernel Library,3190,337,31,Cuda,2023/7/22
494232964,Dao-AILab/flash-attention,AI Kernel Library,17887,1748,31,Python,2022/5/19
46153892,NVIDIA/nccl,AI Kernel Library,3791,936,19,C++,2015/11/14
933928679,deepseek-ai/DeepEP,AI Kernel Library,7883,802,18,Cuda,2025/2/17
724854743,ml-explore/mlx,AI Kernel Library,21101,1233,34,C++,2023/11/28
658928958,ollama/ollama,Inference Deploy,143946,12109,303,Go,2023/6/26
653496050,xorbitsai/inference,Inference Deploy,8049,693,66,Python,2023/6/14
942206898,ai-dynamo/dynamo,Inference Deploy,4288,427,79,Rust,2025/3/3
151636194,triton-inference-server/server,Inference Deploy,9349,1597,37,Python,2018/10/4
619959033,nomic-ai/gpt4all,Inference Deploy,73637,8049,26,C++,2023/3/27
178075572,kserve/kserve,Inference Deploy,4265,1188,29,Python,2019/3/27
819733173,kvcache-ai/Mooncake,Inference Deploy,3430,284,23,C++,2024/6/25
813348592,vllm-project/aibrix,Inference Deploy,3740,379,24,Jupyter Notebook,2024/6/10
634081686,mlc-ai/mlc-llm,Inference Deploy,20813,1749,16,Python,2023/4/29
178976529,bentoml/BentoML,Inference Deploy,7788,844,14,Python,2019/4/2
599547518,vllm-project/vllm,Inference Engine,49928,8092,634,Python,2023/2/9
153097643,openvinotoolkit/openvino,Inference Engine,8442,2631,276,C++,2018/10/15
740303686,sgl-project/sglang,Inference Engine,15230,2067,288,Python,2024/1/8
612354784,ggml-org/llama.cpp,Inference Engine,81885,12117,239,C++,2023/3/10
156939672,microsoft/onnxruntime,Inference Engine,16944,3276,198,C++,2018/11/10
679366051,NVIDIA/TensorRT-LLM,Inference Engine,10765,1504,119,C++,2023/8/16
833984877,kvcache-ai/ktransformers,Inference Engine,14414,1026,86,Python,2024/7/26
654122609,InternLM/lmdeploy,Inference Engine,6538,559,64,Python,2023/6/15
547806116,huggingface/text-generation-inference,Inference Engine,10230,1201,38,Python,2022/10/8
136202695,mlflow/mlflow,MLOps,20909,4609,97,Python,2018/6/5
86031674,wandb/wandb,MLOps,9987,749,80,Python,2017/3/24
205706595,mlrun/mlrun,MLOps,1546,265,54,Python,2019/9/1
448599559,deepflowio/deepflow,MLOps,3352,371,49,Go,2022/1/16
216628419,flyteorg/flyte,MLOps,6296,725,40,Go,2019/10/21
209120637,Netflix/metaflow,MLOps,8892,842,26,Python,2019/9/17
314197645,zenml-io/zenml,MLOps,4638,509,25,Python,2020/11/19
646410686,hiyouga/LLaMA-Factory,Post-train,52495,6391,132,Python,2023/5/28
725205304,unslothai/unsloth,Post-train,40690,3240,111,Python,2023/11/29
881221486,volcengine/verl,Post-train,9602,1447,106,Python,2024/10/31
672415139,OpenRLHF/OpenRLHF,Post-train,7105,689,40,Python,2023/7/30
534011733,Farama-Foundation/Gymnasium,Post-train,9416,1039,10,Python,2022/9/8
65600975,pytorch/pytorch,Pre-train,90854,24458,924,Python,2016/8/13
65711522,PaddlePaddle/Paddle,Pre-train,22871,5747,214,C++,2016/8/15
200722670,NVIDIA/NeMo,Pre-train,14834,2940,199,Python,2019/8/5
154739597,jax-ml/jax,Pre-train,32556,3063,100,Python,2018/10/25
45717250,tensorflow/tensorflow,Pre-train,190392,74702,75,C++,2015/11/7
33015583,keras-team/keras,Pre-train,63132,19582,60,Python,2015/3/28
235860204,deepspeedai/DeepSpeed,Pre-train,38978,4422,57,Python,2020/1/23
176982014,NVIDIA/Megatron-LM,Pre-train,12595,2853,20,Python,2019/3/21
422274596,hpcaitech/ColossalAI,Pre-train,40974,4522,17,Python,2021/10/28
589831718,comfyanonymous/ComfyUI,Tool use,79943,8842,154,Python,2023/1/17
644461337,vercel/ai,Tool use,15008,2398,115,TypeScript,2023/5/23
881458615,browser-use/browser-use,Tool use,63407,7179,100,Python,2024/10/31
860252770,microsoft/OmniParser,Tool use,22452,1886,16,Jupyter Notebook,2024/9/20
391740664,open-metadata/OpenMetadata,Unstructured Data Governance - Catalog,6907,1268,118,TypeScript,2021/8/1
46398090,datahub-project/datahub,Unstructured Data Governance - Catalog,10730,3135,98,Java,2015/11/18
631431061,apache/gravitino,Unstructured Data Governance - Catalog,1643,497,81,Java,2023/4/23
814708478,unitycatalog/unitycatalog,Unstructured Data Governance - Catalog,2929,482,23,Python,2024/6/13
158256479,apache/iceberg,Unstructured Data Governance - Lake Format,7593,2615,129,Java,2018/11/19
76474200,apache/hudi,Unstructured Data Governance - Lake Format,5840,2413,87,Java,2016/12/14
447060287,apache/paimon,Unstructured Data Governance - Lake Format,2845,1134,80,Java,2022/1/12
182849188,delta-io/delta,Unstructured Data Governance - Lake Format,8083,1848,67,Scala,2019/4/22
507775,elastic/elasticsearch,Vector Storage and Search,72978,25265,349,Java,2010/2/8
208728772,milvus-io/milvus,Vector Storage and Search,35444,3259,153,Go,2019/9/16
334274271,opensearch-project/OpenSearch,Vector Storage and Search,10957,2173,117,Java,2021/1/29
55072677,weaviate/weaviate,Vector Storage and Search,13661,971,74,Go,2016/3/30
546206616,chroma-core/chroma,Vector Storage and Search,20525,1650,70,Rust,2022/10/5
268163609,qdrant/qdrant,Vector Storage and Search,24215,1658,58,Rust,2020/5/30
607441698,lancedb/lancedb,Vector Storage and Search,6662,498,29,Rust,2023/2/28
359952601,pgvector/pgvector,Vector Storage and Search,16134,789,10,C,2021/4/20
